,Nom,Téléphone,Adresse,Ville,Département,Capacité,Type d'établissement,Capacité médecine,Capacité chirurgie,Capacité obstétrique,Capacité psychiatrie,Capacité moyen séjour,Capacité long séjour,Capacité hébergement,Capacité hospitalisation à domicile,Capacité service de soins infirmiers à domicile,Equipement : scanner,Equipement : irm,Equipement : radiologie numérisée,Equipement : radiologie vasculaire,Equipement : caméras à scintillon,Equipement : tep (tomographe)
1283,CHU Amiens Picardie - Site Sud  (Amiens),03 22 08 80 00, 1 Rond-Point du Professeur Christian Cabrol  80054 Amiens,Amiens,80, 1099 places, Hôpital dépendant d'un CHRU,626,401,72,0,0,0,0,0,0,4,3,12,5,3,1
1284,Centre hospitalier  (Abbeville),03 22 25 52 00," 43, rue de l'isle  80142 Abbeville",Abbeville,80, 378 places, Centre Hospitalier,221,67,30,60,0,0,0,0,30,1,1,6,0,0,0
1285,CHU Amiens Picardie -  Centre Saint Victor  (Amiens),03 22 82 40 00, 354  Bd Beauville  80054 Amiens,Amiens,80, 365 places, Hôpital dépendant d'un CHRU,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,Centre hospitalier Intercommunal Montdidier-Roye  (Montdidier),03 22 78 70 00," 25, rue Amand de Vienne  80500 Montdidier",Montdidier,80, 328 places, Centre Hospitalier,38,0,0,0,40,60,190,15,0,1,0,1,0,0,0
1287,Centre hospitalier  (Albert),03 22 74 41 00, Rue Tien Tsin BP 30214 80303 Albert,Albert,80, 274 places, Centre Hospitalier,20,0,0,0,30,0,224,10,0,0,0,2,0,0,0
1288,HOPITAL  (SAINT VALERY SUR SOMME),03 22 60 28 00, 33 Quai du Romerel  80230 SAINT VALERY SUR SOMME,SAINT VALERY SUR SOMME,80, 271 places, Centre Hospitalier,24,0,0,0,57,98,92,0,88,0,0,1,0,0,0
1289,Centre Hospitalier  (Doullens),03 22 32 33 33, rue de Routequeue BP 90031 80600 Doullens,Doullens,80, 271 places, Centre Hospitalier,68,0,0,0,40,35,128,30,44,1,0,1,0,0,0
1290,Centre hospitalier Intercommunal Montdidier-Roye Site de Roye (Roye),03 22 73 45 00, 1 Ter Rue de la Pêcherie  80700 Roye,Roye,80, 224 places, Centre Hospitalier,10,0,0,0,32,0,182,0,55,0,0,0,0,0,0
1291,CHU Amiens Picardie - Site Nord (Hôpital Nord)  (Amiens),03 22 08 80 00, 1 Place Victor Pauchet  80054 Amiens,Amiens,80, 197 places, Hôpital dépendant d'un CHRU,197,0,0,0,0,0,0,0,0,1,0,5,0,0,0
1292,Centre hospitalier  (Corbie),03 22 96 40 00, 33 rue GAMBETTA CS 60809 80800 Corbie,Corbie,80, 141 places, Centre Hospitalier,19,0,0,0,122,0,0,0,0,0,0,2,0,0,0
1293,Centre Hospitalier de Péronne  (Péronne),03 22 83 60 00, Place du Jeu de Paume CS 90079 80201 Péronne,Péronne,80, 115 places, Centre Hospitalier,34,23,15,23,20,0,0,0,0,1,0,2,0,0,0
1294,Centre hospitalier  (Ham),03 23 81 40 00," 56, rue de Verdun  80400 Ham",Ham,80, 91 places, Centre Hospitalier,29,0,0,0,32,30,0,10,58,0,0,1,0,0,0
1295,Centre de Gérontologie  (Abbeville),03 22 25 50 06, 80 route de Doullens  80142 Abbeville,Abbeville,80, 47 places, Centre Hospitalier,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,EHPAD Caudron  (PERONNE),03 22 83 61 94, Rue Hector Berlioz CS 90079 80201 PERONNE,PERONNE,80, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
1297,Unité de Soins Longue Durée  (CORBIE),03 22 96 47 31, 33 rue Gambetta  80800 CORBIE,CORBIE,80, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1298,Hôpital de Jour de Pédopsychiatrie  (Abbeville),03 22 24 88 89, 25 avenue du Général Leclerc  80142 Abbeville,Abbeville,80, 15 places, Centre Hospitalier,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
1299,Hôpital de Jour de Psychiatrie Générale  (Abbeville),03 22 20 15 70, 5/7 rue des Lingers  80142 Abbeville,Abbeville,80, 12 places, Centre Hospitalier,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
1300,"CHU Amiens-Picardie, Institut Ophtalmologique de Picardie (IOP)  (Amiens)",03 22 08 92 25," 6 rue Ours et la Lune,  80000 Amiens",Amiens,80, 10 places, Hôpital dépendant d'un CHRU,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,ASSOCIATION A BUT NON LUCRATIF  (RIVERY),03 22 70 79 79, 1 rue Hélène BOUCHER ZAC DE LA BORNE 80136 RIVERY,RIVERY,80, 0 places, Hospitalisation à Domicile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,Centre hospitalier  (Lavaur),05 63 58 81 81," 1, place Vialas BP 85 81502 Lavaur",Lavaur,81, 458 places, Centre Hospitalier,44,5,17,267,65,60,0,0,66,1,0,2,0,0,0
1303,HOPITAL DU PAYS d'AUTAN - Site de Castres (Castres),05 63 71 63 71, 6 avenue de la Montagne Noire BP30417 81108 Castres,Castres,81, 375 places, Centre Hospitalier,232,97,46,0,0,0,0,0,0,1,1,5,0,0,0
1304,Centre hospitalier  (Albi),05 63 47 47 47," 22, Boulevard SIBILLE  81013 Albi",Albi,81, 334 places, Centre Hospitalier,160,56,24,0,20,74,0,43,30,1,2,3,0,2,1
1305,USLD-EHPAD Hôpital des Monges- Site de Castres (Castres),05 63 71 63 01, 12 Rue des Monges  81100 Castres,Castres,81, 160 places, Etablissement de Soins Longue Durée,0,0,0,0,0,50,110,0,0,0,0,0,0,0,0
1306,CENTRE MUTUALISTE DE REEDUCATION FONCTIONNELLE ESPIC SSR (ALBI),05 63 45 70 70, Rue Angely Cavalié  81000 ALBI,ALBI,81, 108 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
1307,CENTRE DE READAPTATION POUR PERSONNES AGEES ESPIC SSR (VALENCE D'ALBIGEOIS),05 63 53 70 70, Route d'Albi UMT Route d'Albi 81 64 VALENCE D'ALBIGEOIS,VALENCE D'ALBIGEOIS,1 , 72 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
1308,USLD Aussillon - Site de Mazamet  (Aussillon),05 63 97 51 02, rue de la Paix  81200 Aussillon,Aussillon,81, 70 places, Etablissement de Soins Longue Durée,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
1309,SOINS de SUITE et de READAPTATION - Site de Mazamet  (Mazamet),05 63 97 50 92, Bd Raymond d'Hautpoul  81200 Mazamet,Mazamet,81, 63 places, Centre Hospitalier,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
1310,Centre Hospitalier  (GAILLAC),05 63 42 50 50, Avenue René Cassin BPN  70036 81601 GAILLAC,GAILLAC,81, 61 places, Centre Hospitalier,30,0,0,0,31,0,0,0,0,0,0,1,0,0,0
1311,"SOINS DE SUITE ET DE READAPTATION, HOPITAL DES MONGES - Site de Castres (Castres)",05 63 71 63 01, 12 rue des Monges  81100 Castres,Castres,81, 40 places, Centre Hospitalier,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
1312,CENTRE HOSPITALIER  (Graulhet),05 63 42 30 00, 19 rue Docteur Bastié BP 49 81301 Graulhet,Graulhet,81, 33 places, Centre Hospitalier,18,0,0,0,15,0,0,0,0,0,0,0,0,0,0
1313,USLD  (GAILLAC),05 63 42 50 50, Avenue René Cassin  81601 GAILLAC,GAILLAC,81, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1314,CENTRE DE PLANIFICATION FAMILIALE - Carré Gambetta  (CASTRES),05 67 46 46 90, 43 rue Victor HUGO  81100 CASTRES,CASTRES,81, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,Centre Hospitalier Général  (MONTAUBAN),05 63 92 82 82," 100, rue Leon Cladel BP 765 82013 MONTAUBAN",MONTAUBAN,82, 658 places, Centre Hospitalier,217,48,22,311,60,0,0,40,0,2,2,3,0,0,0
1316,EHPAD Castelsarrasin  (CASTELSARRASIN),05 63 32 88 00, 72 rue de la Mouline  82100 CASTELSARRASIN,CASTELSARRASIN,82, 222 places, Centre Hospitalier,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0
1317,Centre hospitalier  (Moissac),05 63 04 67 00, boulevard Camille Delthil BP302 82201 Moissac,Moissac,82, 98 places, Centre Hospitalier,38,24,0,0,36,0,0,30,10,1,0,2,0,0,0
1318,Hôpital Le Jardin d'Emilie (CAUSSADE),05 63 26 18 00," 5, rue du Parc  82300 CAUSSADE",CAUSSADE,82, 35 places, Etablissement de Soins Longue Durée,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
1319,Etablissement public de santé Hôpital Turenne (Negrepelisse),05 63 25 02 50, 335 rue des Fossés (anciennement 24 rue de Turenne)  82800 Negrepelisse,Negrepelisse,82, 33 places, Hôpital local,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
1320,Centre Hospitalier SSR (Valence d'Agen),05 63 39 50 67, 52 boulevard Victor Guilhem  82400 Valence d'Agen,Valence d'Agen,82, 30 places, Hôpital local,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1321,Unité de Soins de Longue Durée  (MONTAUBAN),05 63 92 81 33, 100 rue Léon Cladel  82013 MONTAUBAN,MONTAUBAN,82, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
1322,Unité de Soins de Longue Durée Léonie CHAPTAL Centre Hospitalier des Deux Rives (Valence d'Agen),05 63 39 50 67, 52 boulevard Victor Guilhem 52 boulevard Victor Guilhem 82400 Valence d'Agen,Valence d'Agen,82, 25 places, Etablissement de Soins Longue Durée,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
1323,Centre de Thérapie Familiale et Conjugales  (MONTAUBAN),05 63 20 35 03, 15 Place Franklin Roosevelt - Place de la Cathédrale - passage du vieux palais  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,Hôpital de jour de Psychiatrie Infanto-Juvénile  (MONTAUBAN),05 63 92 86 94, 2 Rue des Capucins  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,"Hôpital de jour de Psychiatrie adultes ""Le cadran Solaire""  (MONTAUBAN)",05 63 20 42 62, 32 Rue Léon de Malleville  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,"Hôpital de jour de Psychiatrie Infanto-Juvénile ""Pordegui""  (CASTELSARRASIN)",05 63 29 63 15, 72 Chemin de Promes  82100 CASTELSARRASIN,CASTELSARRASIN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,Hôpital de jour de Psychiatrie pour adolescents  (MONTAUBAN),05 63 91 19 36, 84 Avenue du 11 ème R.I  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,Psychiatrie Secteur 3  (MONTAUBAN),05 63 92 87 21, Route de Bordeaux  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,L'atelier thérapeutique du Pin  (MONTAUBAN),05 63 66 81 48, 205 Impasse des Grouilles  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,Hôpital de jour de Psychiatrie adultes d'Unité de Soins Ambulatoire  (MONTAUBAN),05 63 20 35 14, 15 Place Franklin Roosevelt - Place de la Cathédrale - Passage de vieux palais  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,Centre Médico-Psychologique  (BEAUMONT-DE-LOMAGNE),05 63 26 20 61, Rue de l'Esplanade  82500 BEAUMONT-DE-LOMAGNE,BEAUMONT-DE-LOMAGNE,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,Hôpital de jour de Psychiatrie adultes - Unité Intersectorielle  (MONTAUBAN),05 63 20 36 98, 7 Rue de la briqueterie  82000 MONTAUBAN,MONTAUBAN,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,Hôpital de jour de Psychiatrie Adultes  (MOISSAC),05 63 05 07 05, 13 Rue du Général Gras  82200 MOISSAC,MOISSAC,82, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,C.H.I.T.S. Hôpital Sainte Musse (Toulon),04 94 14 50 00," 54, rue Henri Sainte Claire Deville CS 31412 83056 Toulon",Toulon,83, 796 places, Centre Hospitalier,436,163,57,140,0,0,0,0,0,2,2,4,3,3,1
1335,Centre Hospitalier Intercommunal  (Frejus),04 94 40 21 21, 240 av. de Saint-Lambert BP 110 83608 Frejus,Frejus,83, 457 places, Centre Hospitalier,177,62,26,42,30,30,90,0,0,1,1,3,1,2,0
1336,Hôpital d'Instruction des armées SAINTE ANNE  (TOULON),04 83 16 20 10, BCRM TOULON 2 boulevard Sainte Anne BP 600  83800 TOULON,TOULON,83, 382 places, Hôpital des armées,222,140,0,20,0,0,0,0,0,2,2,4,3,2,1
1337,AP-HP Hôpital San Salvadour (Hyères),04 94 38 08 00," 4312, route de l'Almanarre BP 30080 83407 Hyères",Hyères,83, 351 places, Hôpital dépendant d'un CHRU,0,0,0,0,351,0,0,0,0,0,0,1,0,0,0
1338,C.H.I.T.S. Hôpital de La Seyne sur Mer (La Seyne-sur-Mer),04 94 11 30 00, Avenue  Jules Renard BP 1412 83056 La Seyne-sur-Mer,La Seyne-sur-Mer,83, 319 places, Centre Hospitalier,116,0,0,91,40,14,58,0,0,1,0,2,0,0,0
1339,Centre Hospitalier de la Dracénie (Draguignan),04 94 60 50 00, route de Montferrat BP 249 83007 Draguignan,Draguignan,83, 316 places, Centre Hospitalier,169,60,23,64,0,0,0,0,0,1,1,3,0,0,0
1340,Réhabilitation Spécialisée - Soins Médicaux et de Réadaptation Hôpital Léon Bérard (HYERES),04 94 38 05 05, Avenue du Docteur Marcel Armanet CS 10121 83418 HYERES,HYERES,83, 268 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0
1341,HCL Hôpital Renée Sabran (Giens),04 94 38 15 15, 550 Boulevard Edouard-Herriot Boulevard Edouard Herriot 83400 Giens,Giens,83, 241 places, Hôpital dépendant d'un CHRU,31,52,0,0,158,0,0,0,0,0,0,2,0,0,0
1342,Centre Hospitalier Marie José Treffot  (HYERES),04 94 00 24 00, avenue Maréchal Juin BP 50082 83407 HYERES,HYERES,83, 221 places, Centre Hospitalier,174,27,20,0,0,0,0,0,0,1,1,2,0,0,0
1343,Centre de SSR Pierre Chevalier (Hyères),04 94 12 66 66, 17 Boulevard de Chateaubriand BP 20122 83407 Hyères,Hyères,83, 185 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0
1344,C.H.I.T.S. Hôpital Clemenceau (La Garde),04 94 08 86 86, 421 Av du 1er Bataillon d'Infanterie de Marine du Pacifique CS 31412 83056 La Garde,La Garde,83, 164 places, Centre Hospitalier,0,0,0,0,88,36,40,0,0,0,0,0,0,0,0
1345,Centre hospitalier Jean Marcel (Brignoles),04 94 72 66 00, Boulevard Joseph Monnier CS 10301 83170 Brignoles,Brignoles,83, 136 places, Centre Hospitalier,74,43,19,0,0,0,0,0,0,1,0,2,0,0,0
1346,Pôle de Santé du Golfe de Saint-Tropez Centre Hospitalier de Saint-Tropez (Gassin),04 98 12 50 00, RD 559- Rond Point du Général Diégo Brosset  83580 Gassin,Gassin,83, 97 places, Centre Hospitalier,42,0,15,0,0,40,0,0,0,1,1,1,0,0,0
1347,CLINIQUE MUTUALISTE HENRI MALARTIC  (OLLIOULES),04 94 89 89 89, 203 CHEMIN DE FAVEYROLLES BP 121 83196 OLLIOULES,OLLIOULES,83, 93 places, Etablissement de Soins Pluridisciplinaire,16,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,ASSOCIATION CLINIQUE LES ESPERELS  (FIGANIERES),04 98 10 38 00, 456 CHEMIN DES ESPERELS LES CORNUEREDES 83830 FIGANIERES,FIGANIERES,83, 66 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
1349,USLD La source (BRIGNOLES),04 94 72 67 22, Boulevard Joseph Monnier CS 10301 83170 BRIGNOLES,BRIGNOLES,83, 46 places, Etablissement de Soins Longue Durée,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
1350,Unité de Soins de Longue Durée Le Malmont (Draguignan),04 94 60 58 39, Boulevard Joseph Collomp BP 249 83300 Draguignan,Draguignan,83, 35 places, Etablissement de Soins Longue Durée,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
1351,USLD  (LE LUC),Pas de numéro, Quartier Précoumin Route de Toulon 83340 LE LUC,LE LUC,83, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1352,SSR La source (BRIGNOLES),04 94 72 67 33, Boulevard Joseph Monnier CS 10301 83170 BRIGNOLES,BRIGNOLES,83, 30 places, Centre Hospitalier,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1353,SSR  (LE LUC),Pas de numéro, Quartier Précoumin Route de Toulon 83340 LE LUC,LE LUC,83, 30 places, Hôpital local,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1354,Centre Hospitalier Henri Duffaut (Avignon),04 32 75 33 33, 305 Rue Raoul Follereau  84902 Avignon,Avignon,84, 970 places, Centre Hospitalier,591,158,67,0,87,67,0,0,0,3,1,6,1,3,1
1355,Centre hospitalier Louis Giorgi (Orange),04 90 11 22 22, Avenue de Lavoisier BP 184 84106 Orange,Orange,84, 266 places, Centre Hospitalier,99,57,25,0,25,30,30,0,0,1,1,3,0,0,0
1356,Centre hospitalier intercommunal de Cavaillon - Lauris (Cavaillon),04 90 78 85 00," 119, avenue Georges Clemenceau CS 50 157 84304 Cavaillon",Cavaillon,84, 229 places, Centre Hospitalier,66,15,18,0,23,33,74,0,0,1,1,2,0,0,0
1357,Centre hospitalier du Pays d'Apt (Apt),04 90 04 33 00, BP 172 Route de Marseille 84405 Apt,Apt,84, 202 places, Centre Hospitalier,39,20,0,4,30,43,66,0,0,1,0,2,0,0,0
1358,Centre Hospitalier  (L'isle-sur-la-Sorgue),04 90 21 34 00, Place des Frères Brun BP 58 84800 L'isle-sur-la-Sorgue,L'isle-sur-la-Sorgue,84, 181 places, Hôpital local,10,0,0,0,40,0,131,0,106,0,0,0,0,0,0
1359,CHIAP - CENTRE HOSPITALIER DE PERTUIS  (PERTUIS),04 90 09 42 42," 58, rue de Croze BP 110 84123 PERTUIS",PERTUIS,84, 145 places, Centre Hospitalier,36,0,22,0,37,50,0,0,0,1,0,2,0,0,0
1360,Centre hospitalier  (Carpentras),04 32 85 88 88, 24 Rond point de l'Amitié BP 60263 84208 Carpentras,Carpentras,84, 143 places, Centre Hospitalier,85,0,28,0,0,30,0,0,127,0,0,0,0,0,0
1361,Centre Hospitalier Maurice Chabert  (Gordes),04 90 72 72 00, 100 Route de Murs  84220 Gordes,Gordes,84, 100 places, Hôpital local,5,0,0,0,20,0,75,0,32,0,0,0,0,0,0
1362,Centre de pneumologie et de réadaptation polyvalente de Roquefraîche  (LAURIS),04 90 08 71 00, Route de Roquefraîche  84360 LAURIS,LAURIS,84, 94 places, Centre Hospitalier,0,0,0,0,61,0,33,0,0,0,0,1,0,0,0
1363,Centre hospitalier  (Vaison-la-Romaine),04 90 36 04 58, BP 73  84110 Vaison-la-Romaine,Vaison-la-Romaine,84, 57 places, Centre Hospitalier,27,0,0,0,30,0,0,0,0,0,0,3,0,0,0
1364,Hôpital  (Sault),04 90 64 19 00, quartier Mougne  84390 Sault,Sault,84, 56 places, Hôpital local,3,0,0,0,14,0,39,0,0,0,0,0,0,0,0
1365,Centre hospitalier Jules Niel (Valréas),04 90 28 51 51, BP 97 cours tivoli 84601 Valréas,Valréas,84, 53 places, Centre Hospitalier,25,0,0,0,28,0,0,0,0,0,0,1,0,0,0
1366,Centre Hospitalier Départemental Vendée Site de La Roche sur Yon (La Roche-sur-Yon),02 51 44 61 61, Les Oudairies  85925 La Roche-sur-Yon,La Roche-sur-Yon,85, 977 places, Centre Hospitalier,500,185,64,0,83,80,65,0,0,2,1,6,1,2,1
1367,Centre Hospitalier Départemental Vendée Site de Luçon (Lucon),02 51 28 33 33," 41, Rue Henry RENAUD BP 159 85407 Lucon",Lucon,85, 420 places, Centre Hospitalier,78,5,0,0,89,30,218,40,60,1,0,2,0,0,0
1368,Centre Hospitalier Loire Vendée Océan - site de Challans (CHALLANS),02 51 49 50 00, BP 219 Boulevard Guérin 85302 CHALLANS,CHALLANS,85, 310 places, Centre Hospitalier,99,62,22,67,0,30,30,2,64,1,1,3,0,0,0
1369,Centre hospitalier Côte de Lumière (LES SABLES D'OLONNE),02 51 21 85 85, 4 rue Jacques Monod  85100 LES SABLES D'OLONNE,LES SABLES D'OLONNE,85, 235 places, Centre Hospitalier,166,4,15,0,50,0,0,0,0,1,1,5,0,0,0
1370,Centre Hospitalier Départemental Vendée Site de Montaigu (Montaigu),02 51 45 40 00," 54, rue St jacques B.P. 259 85602 Montaigu",Montaigu,85, 209 places, Centre Hospitalier,62,0,0,0,37,0,110,0,0,1,0,1,0,0,0
1371,Centre hospitalier  (FONTENAY LE COMTE),02 51 53 51 53," 2, rue du Dr René Laforge CS 10039 85200 FONTENAY LE COMTE",FONTENAY LE COMTE,85, 167 places, Centre Hospitalier,100,0,20,0,47,0,0,0,0,0,0,0,0,0,0
1372,Centre Hospitalier Loire Vendée Océan - Site de Challans - EHPAD Résidence Aquarelle (CHALLANS),02 51 49 52 80, 4 allée Henry Simon  85300 CHALLANS,CHALLANS,85, 142 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,112,0,0,0,0,0,0,0,0
1373,Groupe public hospitalier et médico-social des collines vendéennes - Hôpital des collines vendéennes (La Châtaigneraie),02 51 53 65 65," 9, av. du Maréchal Leclerc  85120 La Châtaigneraie",La Châtaigneraie,85, 131 places, Hôpital local,18,0,0,0,43,42,28,0,0,0,0,1,0,0,0
1374,Etablissement de SSR La Chimotaie Groupe MGEN (Cugand),02 51 45 66 00, La Chimotaie BP 10014 85610 Cugand,Cugand,85, 113 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
1375,CMPR Le Clousis (SAINT JEAN DE MONTS),02 51 59 91 00, 1 rue Henry Dunant BP 701 85167 SAINT JEAN DE MONTS,SAINT JEAN DE MONTS,85, 112 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
1376,Unités de Soins de Longues durées (USLD) Résidence : les Maisonnées de Lumière (LES SABLES D'OLONNE),02 51 21 87 13, Boulevard Laplace 75 Avenue d'Aquitaine - BP 10393 85108 LES SABLES D'OLONNE,LES SABLES D'OLONNE,85, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
1377,Centre Hospitalier Loire Vendée Océan - Site de St Gilles (SAINT GILLES CROIX DE VIE),02 51 60 83 00," 20, rue Laennec B.P. 659 85806 SAINT GILLES CROIX DE VIE",SAINT GILLES CROIX DE VIE,85, 41 places, Centre Hospitalier,10,0,0,2,29,0,0,0,0,0,0,0,0,0,0
1378,Centre Hospitalier Loire Vendée Océan - Site de Challans - U.S.L.D. (SAINT GILLES CROIX DE VIE),02 51 60 83 00, 20 rue Laennec  85800 SAINT GILLES CROIX DE VIE,SAINT GILLES CROIX DE VIE,85, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1379,Hopital Dumonte (L'ile-d'Yeu),02 51 26 08 00, 17 impasse du Puits Raimond  85350 L'ile-d'Yeu,L'ile-d'Yeu,85, 25 places, Hôpital local,4,0,0,0,6,0,15,0,0,0,0,1,0,0,0
1380,Centre Les Métives Centre de Soins de suite et de réadaptation en Addictologie (LES SABLES D'OLONNE),02 51 21 89 80, 44 bd Pasteur BP 70363 85108 LES SABLES D'OLONNE,LES SABLES D'OLONNE,85, 25 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
1381,USLD - Unité de Soins de Longue Durée  (NOIRMOUTIER EN L'ILE),02 51 39 03 99, 2 Rue des Sableaux  85330 NOIRMOUTIER EN L'ILE,NOIRMOUTIER EN L'ILE,85, 21 places, Etablissement de Soins Longue Durée,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
1382,SSR - Soins de Suite et de Réadaptation  (NOIRMOUTIER EN L'ILE),02 51 39 03 99, 2 Rue des Sableaux  85330 NOIRMOUTIER EN L'ILE,NOIRMOUTIER EN L'ILE,85, 15 places, Hôpital local,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
1383,Centre Les Métives Centre de Soins de suite et de réadaptation en Addictologie (LA ROCHE SUR YON),02 51 37 54 11, 2 rue Victor Hugo BP 113 85003 LA ROCHE SUR YON,LA ROCHE SUR YON,85, 10 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1384,Site hospitalier de Poitiers La Miletrie (Poitiers),05 49 44 44 44, 2  rue de la Miletrie CS 90577 86021 Poitiers,Poitiers,86, 1659 places, Hôpital dépendant d'un CHRU,1030,342,80,0,0,207,0,107,0,4,5,6,2,4,2
1385,Site hospitalier de Châtellerault  (Chatellerault),05 49 02 90 90, Rue du Dr Luc Montagnier - Rocade est BP 669 86106 Chatellerault,Chatellerault,86, 287 places, Hôpital dépendant d'un CHRU,152,54,26,0,55,0,0,0,27,1,1,4,0,0,0
1386,Site hospitalier de Montmorillon  (Montmorillon),05 49 83 83 83," 2, rue Henri Dunant BP 65 86501 Montmorillon",Montmorillon,86, 178 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,42,136,0,0,1,0,3,0,0,0
1387,Site hospitalier de Loudun  (Loudun),05 49 98 42 42," 3, rue des Visitandines B.P. 101 86206 Loudun",Loudun,86, 158 places, Hôpital dépendant d'un CHRU,37,0,0,0,25,30,66,0,0,1,1,3,0,0,0
1388,SSR LA COLLINE ENSOLEILLEE  (LA ROCHE POSAY),05 49 85 75 00, 7 AVENUE BENJAMIN BORD  86270 LA ROCHE POSAY,LA ROCHE POSAY,86, 80 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
1389,GIP SILPC Site de Poitiers (POITIERS),05 49 50 37 37, 14 rue des landes Pole République III 86 00 POITIERS,POITIERS,6 , 0 places, Syndicat Inter Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,CHU Dupuytren 1 (Limoges),05 55 05 55 55, 2  avenue Martin-Luther-King  87042 Limoges,Limoges,87, 892 places, Hôpital dépendant d'un CHRU,568,316,0,0,8,0,0,0,0,3,3,8,5,3,1
1391,Centre Hospitalier  (Bellac),05 55 47 20 20," 4, avenue Charles de Gaulle  87300 Bellac",Bellac,87, 726 places, Hôpital local,49,0,0,0,62,84,531,0,80,0,0,0,0,0,0
